2009,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Government,1,2142,Moe (Albert Street) Primary School,Primary,O,23,15,38,23,17,40,16,22,38,22,26,48,18,17.6,35.6,15,21,36,17,19,36,0,0,0,271.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.6
Government,1,2143,Geelong South Primary School,Primary,O,20,19,39,22,25,47,28,18,46,17,21,38,16,21,37,19.6,24,43.6,21,16,37,0,0,0,287.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.6
Government,1,2162,Lorne - Aireys Inlet P-12 College,Pri/Sec,O,14,19,33,14,18,32,21,13,34,16,8,24,15,14,29,12,7,19,12,10,22,0,0,0,193,9,4,13,12,11,23,6,3,9,12,6.9,18.9,14.5,7.3,21.8,11.7,4.4,16.1,0,0,0,101.8,294.8
Government,1,2163,Bayswater Primary School,Primary,O,11,18,29,15,12,27,7,9,16,14,8,22,18,8,26,11,11,22,19,9,28,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
Government,1,2167,Minyip Primary School,Primary,O,2,2,4,1,2,3,3,2,5,2,2,4,4,3,7,1,2,3,4,3,7,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Government,1,2172,Mulgrave Primary School,Primary,O,11,16,27,13,8,21,14,12,26,11,16,27,11,11,22,16,11,27,20.4,16,36.4,0,0,0,186.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.4
Government,1,2178,Yarragon Primary School,Primary,O,5,5.6,10.6,9,4,13,5,7,12,5,8,13,7,8,15,5,9,14,10,12,22,0,0,0,99.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6
Government,1,2182,Tyers Primary School,Primary,O,7,7,14,5,4,9,1,4,5,7,2,9,6,2,8,3,3,6,9,5,14,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Government,1,2185,Trafalgar Primary School,Primary,O,17,15,32,14,31,45,22,18,40,22,19,41,35,21,56,22,19,41,28,25,53,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308
Government,1,2188,Kinglake Primary School,Primary,O,4,2,6,6,3,9,4,5,9,9,6,15,6,6,12,8,7,15,9,6,15,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
Government,1,2189,Ellinbank Primary School,Primary,O,2,0,2,0,2,2,1,1,2,0,3,3,3,4,7,4,2,6,1,3,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Government,1,2216,Tambo Upper Primary School,Primary,O,3,5,8,3,0,3,5,5,10,4,2,6,5,2,7,1,5,6,4,2,6,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Government,1,2222,Baranduda Primary School,Primary,O,22,13,35,24,28,52,28,16,44,15,13,28,24,18,42,10,16,26,21,13,34,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261
Government,1,2225,Tungamah Primary School,Primary,O,6,4,10,6,3,9,2,3,5,4,3,7,5,1,6,5,2,7,5,6,11,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Government,1,2229,Bunyip Primary School,Primary,O,13,13,26,14,14,28,19,17,36,15,14,29,14,8,22,15,14,29,18,12,30,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
Government,1,2231,Gunbower Primary School,Primary,O,4.6,4,8.6,0,1,1,2,2,4,2,3,5,5,3,8,4,5,9,4,2,6,0,0,0,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6
